id,Valid test,Lap Shear joint substrate aluminum thickness (m),Average thickness of the adhesive layer (m),Spacer shim thickness (m),Fillet,Mixing to Applied Pressure Time (s),Temperature at sample preparation (°C),Humidity at sample preparation (%),Actual experimental test temperature (°C),Test humidity (%),Extension shift (in),Max load (N),Max strength (Pa),Extension at Max Load (m),Area under the curve to max load - Riemann Sums (N.mm),Extension at complete failure (m),Total under the curve - Riemann Sums (N.mm),Adhesive underfilled,Adhesive fill quality,Mode-of-failure,Test frame,Load cell
0,1,0.00114,0.000125,0.000127,0,2100,23.1,49,25.1,49,0,3970,12300000,0.00118,2490,0.00118,2500,0,4,1,1,1
1,1,0.00114,0.000112,0.000127,0,2100,23.1,49,25.1,49,0,3430,10600000,0.00127,2080,0.00127,2090,0,4,1,1,1
2,0,0.00114,2.80E-05,0.000127,0,2100,23.1,49,25.1,49,0,929,2880000,0.000709,370,0.000789,375,0,4,1,1,1
3,1,0.00114,6.93E-05,0.000127,0,2100,23.1,49,23.1,49,0,3900,12100000,0.00101,2050,0.00102,2060,0,4,1,1,1
4,1,0.00114,8.17E-05,0.000127,0,2100,23.1,49,25.1,49,0,3030,9380000,0.00112,1710,0.00113,1710,0,4,1,1,1
5,1,0.00114,2.73E-05,0.000127,0,2100,23.1,49,25.1,49,0,5320,16500000,0.00166,4360,0.00167,4380,0,4,1,1,1
6,1,0.00114,5.37E-05,0.000127,0,2100,23.1,49,25.1,49,-0.00118,4300,13300000,0.0016,3230,0.0016,3240,0,4,1,1,1
7,1,0.00114,7.50E-05,0.000127,0,2100,23.1,49,25.1,49,0,5200,16100000,0.00188,4430,0.00189,4470,0,4,1,1,1
8,1,0.00114,0.000102,0.000127,0,2100,23.1,49,25.1,49,-0.00295,5270,16300000,0.00176,4490,0.00178,4530,0,4,1,1,1
9,1,0.00114,7.73E-05,0.000127,0,2100,23.1,49,25.1,49,-0.00295,4090,12700000,0.00155,2980,0.00155,2980,0,4,1,1,1
10,1,0.00114,9.57E-05,0.000127,0,2100,23.1,49,25,48,-0.00492,4250,13200000,0.00167,3230,0.00168,3260,0,4,1,1,1
11,1,0.00114,0.00011,0.000127,0,2100,23.1,49,25,48,-0.00394,4450,13800000,0.00177,3510,0.00178,3540,0,4,1,1,1
12,1,0.00114,0.00018,0.000127,0,2100,23.1,49,25,48,-0.00295,5600,17400000,0.00222,5270,0.00223,5330,0,4,1,1,1
13,1,0.00114,0.000137,0.000127,0,2100,23.1,49,25,48,-0.00394,5190,16100000,0.00206,4630,0.00207,4650,0,4,1,1,1
14,1,0.00114,0.000137,0.000127,0,2100,23.1,49,25,48,-0.000984,4020,12400000,0.00165,2850,0.00166,2860,0,4,1,1,1
15,1,0.00114,0.00018,0.000127,0,2100,23.1,49,25,48,-0.00394,4600,14300000,0.0016,3630,0.00161,3660,0,4,1,1,1
16,1,0.00114,0.000211,0.000127,0,2100,23.1,49,25,49,-0.00295,4970,15400000,0.00163,4070,0.00164,4090,0,4,1,1,1
17,1,0.00114,0.000141,0.000127,0,2100,23.1,49,25,48,-0.00394,4800,14900000,0.0018,4020,0.00181,4060,0,4,1,1,1
18,1,0.00114,0.000129,0.000127,0,2100,23.1,49,25.3,48,-0.00591,4310,13400000,0.00149,3170,0.0015,3190,0,4,1,1,1
19,1,0.00114,0.000109,0.000127,0,2100,23.1,49,25.3,48,-0.00591,5050,15700000,0.00198,4330,0.002,4400,0,4,1,1,1
20,1,0.00152,4.57E-05,0.000127,0,2100,22.8,49,25.3,49,-0.00394,4920,15300000,0.00134,3320,0.00135,3340,0,4,1,1,1
21,1,0.00152,7.27E-05,0.000127,0,2100,22.8,49,25.3,48,-0.00295,4360,13500000,0.00201,3350,0.00201,3360,0,4,1,1,1
22,1,0.00152,9.13E-05,0.000127,0,2100,22.8,49,25.3,48,-0.00689,3230,10000000,0.000966,1660,0.000971,1660,0,4,1,1,1
23,1,0.00152,7.00E-05,0.000127,0,2100,22.8,49,25.3,47,-0.00886,3530,10900000,0.00111,1970,0.00112,2000,0,4,1,1,1
